tweet_id,retweet_count,favorite_count
892420643555336193,6976,33700
892177421306343426,5279,29232
891815181378084864,3466,21974
891689557279858688,7190,36779
891327558926688256,7723,35167
891087950875897856,2586,17738
890971913173991426,1649,10324
890729181411237888,15693,56641
890609185150312448,3605,24436
890240255349198849,6075,27846
890006608113172480,6119,26955
889880896479866881,4142,24496
889665388333682689,8309,41870
889638837579907072,3702,23574
889531135344209921,1874,13306
889278841981685760,4426,22015
888917238123831296,3746,25522
888804989199671297,3517,22386
888554962724278272,2867,17254
888078434458587136,2885,19093
887705289381826560,4521,26525
887517139158093824,9817,40562
887473957103951883,14968,59969
887343217045368832,8785,29479
887101392804085760,4972,26887
886983233522544640,6292,30255
886736880519319552,2619,10460
886680336477933568,3723,19655
886366144734445568,2613,18494
886267009285017600,4,105
886258384151887873,5258,24444
886054160059072513,93,0
885984800019947520,5590,28493
885528943205470208,5308,31498
885518971528720385,3100,17943
885311592912609280,15378,0
885167619883638784,3654,19188
884925521741709313,14953,66958
884876753390489601,4644,24294
884562892145688576,3896,21240
884441805382717440,4780,23790
884247878851493888,16840,62994
884162670584377345,2493,17893
883838122936631299,2849,19086
883482846933004288,8231,40049
883360690899218434,3061,19884
883117836046086144,5512,32399
882992080364220416,3231,20914
882762694511734784,4080,24700
882627270321602560,5046,24520
882268110199369728,9587,39057
882045870035918850,4069,25626
881906580714921986,2842,21382
881666595344535552,8921,44404
881633300179243008,8,113
881536004380872706,13354,43302
881268444196462592,4486,20423
880935762899988482,2329,15000
880872448815771648,3193,18653
880465832366813184,5196,24926
880221127280381952,3452,23574
880095782870896641,3637,24233
879862464715927552,2916,19641
879674319642796034,9,281
879492040517615616,2621,20646
879415818425184262,37255,92499
879376492567855104,2635,14798
879130579576475649,5715,0
879050749262655488,3938,19750
879008229531029506,2233,16719
878776093423087618,3422,17070
878604707211726852,5902,26355
878404777348136964,1071,0
878316110768087041,5502,0
878281511006478336,1071,6760
878057613040115712,5715,37016
877736472329191424,15740,68971
877611172832227328,70,0
877556246731214848,3154,19837
877316821321428993,4325,24061
877201837425926144,4607,23788
876838120628539392,2795,18163
876537666061221889,3963,20979
876484053909872640,1992,16513
876120275196170240,3891,24618
875747767867523072,3567,22036
875144289856114688,4135,19366
875097192612077568,5097,24172
875021211251597312,3956,22491
874680097055178752,3908,24514
874434818259525634,12166,0
874296783580663808,3472,22889
874057562936811520,3369,20052
874012996292530176,8557,30029
873580283840344065,3334,21318
873337748698140672,1326,0
873213775632977920,1326,6298
872967104147763200,4546,23983
872820683541237760,3158,13026
872620804844003328,3058,18268
872486979161796608,7691,35991
872122724285648897,6808,30110
871879754684805121,9213,32972
871762521631449091,2959,17820
871515927908634625,2928,17848
871166179821445120,4880,0
871102520638267392,4660,18484
871032628920680449,3214,20103
870804317367881728,5267,29712
870726314365509632,3,105
870656317836468226,2192,10857
870374049280663552,22673,73732
870308999962521604,3538,19419
870063196459192321,7053,32325
869772420881756160,8663,37895
869702957897576449,5366,24976
869596645499047938,2630,14140
869227993411051520,3192,18082
868880397819494401,12208,57739
868639477480148993,1744,0
868622495443632128,4447,23576
868552278524837888,1744,8942
867900495410671616,3555,21533
867774946302451713,6230,30156
867421006826221569,2109,14299
867072653475098625,100,0
867051520902168576,6756,28612
866720684873056260,4121,17822
866686824827068416,2955,17069
866450705531457537,30081,108505
866334964761202691,12166,46449
866094527597207552,7139,0
865718153858494464,4820,22855
865359393868664832,4273,23517
865006731092295680,6640,24969
864873206498414592,7479,28759
864279568663928832,2572,13033
864197398364647424,7560,26556
863907417377173506,3579,18375
863553081350529029,3616,13642
863471782782697472,2087,0
863432100342583297,4545,21231
863427515083354112,80,1956
863079547188785154,950,7868
863062471531167744,2087,7500
862831371563274240,4447,17178
862722525377298433,3078,15288
862457590147678208,4232,18215
862096992088072192,19921,65998
861383897657036800,9237,32196
861288531465048066,3577,15311
861005113778896900,3322,14958
860981674716409858,1850,0
860924035999428608,676,0
860563773140209665,1850,6703
860524505164394496,4589,21186
860276583193509888,3057,16531
860184849394610176,5107,14968
860177593139703809,26636,0
859924526012018688,3573,17576
859851578198683649,3061,13948
859607811541651456,1361,16788
859196978902773760,26188,80183
859074603037188101,11927,30330
858860390427611136,7056,0
858843525470990336,3019,14084
858471635011153920,4243,19427
858107933456039936,2534,14192
857989990357356544,2261,14459
857746408056729600,9319,30720
857393404942143489,1436,5298
857263160327368704,3963,18206
857214891891077121,16,204
857062103051644929,146,0
857029823797047296,3473,16993
856543823941562368,2535,14795
856526610513747968,1651,10804
856288084350160898,15,486
856282028240666624,5565,25157
855862651834028034,21,302
855860136149123072,849,4399
855857698524602368,1854,10835
855851453814013952,16087,41816
855818117272018944,4800,24235
855459453768019968,7287,27029
855245323840757760,5251,0
855138241867124737,36,0
854732716440526848,5332,20621
854482394044301312,6002,26506
854365224396361728,4135,17162
854120357044912130,6574,29139
854010172552949760,2786,14811
853760880890318849,5107,26008
853639147608842240,8843,31466
853299958564483072,3163,14130
852936405516943360,1783,0
852912242202992640,1594,8234
852672615818899456,1906,13618
852553447878664193,3103,14866
852311364735569921,8850,30292
852226086759018497,6076,18298
852189679701164033,1417,10563
851591660324737024,3122,14923
851464819735769094,6294,22220
851224888060895234,5162,18996
850753642995093505,8058,28070
850380195714523136,2325,12051
850333567704068097,301,3184
850145622816686080,3387,15011
850019790995546112,4357,18745
849776966551130114,6801,27869
849668094696017920,4435,0
849412302885593088,2822,14654
849336543269576704,1684,10538
849051919805034497,7604,38909
848690551926992896,3914,23221
848324959059550208,4135,22774
848213670039564288,644,7534
848212111729840128,2712,15019
847978865427394560,2914,0
847971574464610304,394,0
847962785489326080,4563,21694
847842811428974592,1186,5004
847617282490613760,376,6464
847606175596138505,3077,17325
847251039262605312,3909,18932
847157206088847362,5247,18343
847116187444137987,2871,19842
846874817362120707,3543,18585
846514051647705089,10354,41081
846505985330044928,2756,13039
846153765933735936,8149,29037
846139713627017216,9149,28754
846042936437604353,2582,14786
845812042753855489,7847,26954
845677943972139009,4373,23380
845397057150107648,1618,7072
845306882940190720,4847,21579
845098359547420673,6929,0
844979544864018432,2306,12644
844973813909606400,2843,13908
844580511645339650,2808,15272
844223788422217728,1987,12686
843981021012017153,2698,14085
843856843873095681,4165,19928
843604394117681152,2476,15659
843235543001513987,5389,19928
842846295480000512,3313,14198
842765311967449089,1175,6284
842535590457499648,3171,16881
842163532590374912,5251,22686
842115215311396866,2755,13007
841833993020538882,13539,0
841680585030541313,7145,23999
841439858740625411,3312,11704
841320156043304961,5013,18391
841314665196081154,4228,14719
841077006473256960,4880,21304
840761248237133825,1619,0
840728873075638272,14567,0
840698636975636481,2,163
840696689258311684,889,11456
840632337062862849,1619,8412
840370681858686976,4173,15308
840268004936019968,5204,17854
839990271299457024,2065,12505
839549326359670784,7056,25529
839290600511926273,132,0
839239871831150596,5924,25180
838952994649550848,3659,18326
838921590096166913,1853,10398
838916489579200512,31,0
838831947270979586,10003,0
838561493054533637,1230,10234
838476387338051585,4334,20925
838201503651401729,9163,0
838150277551247360,302,1566
838085839343206401,1,133
838083903487373313,2834,16429
837820167694528512,7139,31777
837482249356513284,405,3599
837471256429613056,2059,11961
837110210464448512,2175,15044
836989968035819520,2109,11929
836753516572119041,4257,18083
836677758902222849,2021,11812
836648853927522308,507,0
836397794269200385,25032,0
836380477523124226,2745,13884
836260088725786625,3976,19909
836001077879255040,3883,17853
835685285446955009,7404,0
835574547218894849,3293,16620
835536468978302976,1540,0
835309094223372289,19126,0
835297930240217089,2734,15409
835264098648616962,1540,7220
835246439529840640,63,1988
835172783151792128,5288,24522
835152434251116546,2755,20892
834931633769889797,1489,10085
